Date,Open,High,Low,Close,Adj Close,Volume
2018-11-14,199.399994,200.500000,196.199997,197.309998,189.762253,2265200
2018-11-15,197.460007,197.919998,195.009995,197.440002,189.887283,1304500
2018-11-16,196.380005,198.029999,195.009995,196.529999,189.012070,2436300
2018-11-19,196.020004,196.190002,191.850006,193.389999,185.992218,3845900
2018-11-20,191.039993,192.690002,187.869995,190.720001,183.424332,2363900
2018-11-21,191.229996,195.580002,190.580002,194.210007,186.780823,1684800
2018-11-23,194.000000,195.520004,192.369995,192.839996,185.463242,470200
2018-11-26,194.929993,195.169998,193.070007,194.110001,186.684662,1329400
2018-11-27,195.130005,197.729996,194.699997,195.800003,188.310013,2269500
2018-11-28,196.500000,201.800003,195.970001,201.320007,193.618866,2012900
2018-11-29,199.130005,201.710007,196.089996,196.210007,188.704330,2909400
2018-11-30,196.070007,197.669998,194.880005,195.759995,188.271530,1663000
2018-12-03,196.449997,198.350006,193.770004,198.210007,190.627823,2351700
2018-12-04,197.500000,197.649994,190.940002,191.169998,183.857132,2192300
2018-12-06,190.050003,191.330002,187.910004,190.720001,183.424332,1666400
2018-12-07,191.279999,192.860001,187.339996,188.610001,181.395035,1437700
2018-12-10,189.240005,189.320007,184.759995,187.300003,180.135162,1915000
2018-12-11,189.009995,191.399994,187.919998,188.770004,181.548935,2041000
2018-12-12,191.039993,191.039993,186.649994,186.729996,179.586945,2267500
2018-12-13,186.070007,187.130005,180.169998,182.630005,175.643814,2311000
2018-12-14,181.630005,182.990005,180.240005,181.270004,174.335815,1330800
2018-12-17,180.389999,181.600006,174.589996,176.050003,169.315521,2739400
2018-12-18,175.750000,176.000000,171.080002,172.619995,166.016739,3488200
2018-12-19,172.649994,176.399994,171.449997,172.089996,165.507004,3539400
2018-12-20,172.110001,172.899994,165.929993,166.880005,160.496323,2519400
2018-12-21,166.770004,168.410004,161.990005,162.179993,155.976074,3163500
2018-12-24,160.820007,161.380005,156.250000,156.949997,150.946136,1541000
2018-12-26,157.960007,163.490005,157.279999,163.419998,157.168671,1908400
2018-12-27,161.710007,163.509995,158.639999,163.500000,157.245590,1734000
2018-12-28,164.820007,165.630005,161.520004,162.860001,156.630096,1963800
2018-12-31,163.500000,164.000000,159.520004,160.820007,154.668106,1952800
2019-01-02,160.059998,165.509995,159.300003,164.039993,157.764908,1747200
2019-01-03,163.100006,164.320007,160.919998,161.600006,155.418274,2392000
2019-01-04,163.020004,166.720001,162.160004,166.619995,160.246246,3369600
2019-01-07,169.449997,172.330002,168.080002,170.119995,163.612350,3553100
2019-01-08,171.649994,173.399994,170.110001,172.339996,165.747421,3418600
2019-01-09,152.610001,161.259995,150.369995,150.940002,145.166031,17157500
2019-01-10,156.500000,161.479996,155.559998,159.929993,153.812149,7659000
2019-01-11,160.000000,160.729996,157.199997,159.210007,153.119705,3835100
2019-01-14,158.220001,161.750000,158.220001,160.860001,154.706589,2874500
2019-01-15,161.089996,161.089996,158.869995,160.529999,154.389221,1823600
2019-01-16,160.240005,161.669998,158.820007,159.880005,153.764038,1917900
2019-01-17,159.089996,160.850006,157.139999,160.360001,154.225708,1725500
2019-01-18,161.789993,166.100006,161.500000,164.149994,157.870728,2952200
2019-01-22,165.979996,167.919998,163.470001,164.729996,158.428528,2553400
2019-01-23,165.270004,165.960007,164.270004,165.589996,159.255646,2700400
2019-01-24,165.389999,165.750000,163.710007,164.789993,158.486221,2163200
2019-01-25,166.000000,167.309998,165.860001,166.800003,160.419373,2349200
2019-01-28,166.559998,168.580002,165.699997,167.899994,161.477249,2636500
2019-01-29,167.919998,168.500000,167.240005,168.149994,161.717682,3067000
2019-01-30,168.580002,170.669998,168.130005,170.610001,164.083618,2486600
2019-01-31,171.100006,173.770004,170.149994,173.660004,167.016968,2457300
2019-02-01,174.149994,174.580002,172.740005,173.750000,167.103500,2531400
2019-02-04,174.250000,174.300003,171.960007,172.809998,166.199448,1483400
2019-02-05,173.699997,176.460007,173.339996,174.720001,168.036377,2604600
2019-02-06,174.339996,174.679993,171.350006,172.289993,165.699341,1651700
2019-02-07,171.619995,174.679993,171.309998,174.050003,167.392044,1896200
2019-02-08,174.100006,175.220001,173.550003,175.220001,168.517273,1344200
2019-02-11,174.580002,175.869995,171.660004,172.770004,166.865692,2021200
2019-02-12,172.309998,173.029999,170.869995,171.940002,166.064056,1979900
2019-02-13,173.929993,176.130005,173.009995,174.770004,168.797379,4736500
2019-02-14,174.910004,175.000000,173.050003,173.960007,168.015060,2484500
2019-02-15,175.259995,176.190002,173.559998,174.910004,168.932556,1965600
2019-02-19,174.979996,176.389999,174.050003,174.720001,168.749054,2072300
2019-02-20,175.410004,176.779999,166.360001,166.979996,161.273560,5401800
2019-02-21,167.350006,167.750000,163.990005,165.649994,159.989014,5426300
2019-02-22,165.720001,169.369995,165.500000,169.059998,163.282486,3913800
2019-02-25,170.300003,170.750000,166.850006,167.149994,161.437759,1695100
2019-02-26,167.080002,169.779999,167.080002,169.410004,163.620529,1495900
2019-02-27,168.750000,169.330002,167.850006,169.250000,163.465973,1112300
2019-02-28,169.940002,170.440002,168.690002,169.160004,163.379074,1540600
2019-03-01,170.199997,171.949997,169.949997,171.940002,166.064056,1508500
2019-03-04,172.570007,172.789993,169.050003,170.630005,164.798843,1828700
2019-03-05,170.220001,170.220001,167.100006,167.470001,161.746857,2601700
2019-03-06,167.600006,168.910004,165.720001,166.059998,160.385010,1292500
2019-03-07,168.449997,169.570007,166.360001,167.639999,161.911026,1595600
2019-03-08,166.850006,167.860001,165.320007,166.190002,160.510574,1146200
2019-03-11,167.059998,168.759995,166.449997,168.330002,162.577454,1043300
2019-03-12,168.539993,169.449997,167.850006,168.809998,163.041031,997900
2019-03-13,169.830002,171.899994,169.710007,170.660004,164.827820,1379200
2019-03-14,170.500000,171.289993,169.309998,170.610001,164.779510,1240000
2019-03-15,171.479996,172.809998,169.800003,170.449997,164.624985,2682700
2019-03-18,171.080002,171.380005,170.300003,171.080002,165.233444,856300
2019-03-19,171.210007,171.229996,166.009995,167.330002,161.611633,2187200
2019-03-20,167.330002,167.610001,163.520004,164.600006,158.974899,2815900
2019-03-21,164.220001,169.509995,164.169998,169.389999,163.601212,1622600
2019-03-22,168.410004,170.419998,167.520004,169.529999,163.736435,1553100
2019-03-25,168.639999,169.149994,166.750000,168.039993,162.297333,1384100
2019-03-26,168.539993,171.869995,168.279999,171.710007,165.841934,2077000
2019-03-27,170.229996,171.889999,169.440002,170.119995,164.306274,1217400
2019-03-28,170.250000,172.520004,169.889999,172.500000,166.604919,1170900
2019-03-29,172.970001,176.460007,172.759995,175.330002,169.338211,2193900
2019-04-01,176.910004,178.589996,174.520004,177.589996,171.520981,2908800
2019-04-02,178.250000,178.610001,175.500000,176.710007,170.671051,2237600
2019-04-03,177.259995,179.770004,176.809998,179.690002,173.549225,2644100
2019-04-04,178.509995,193.190002,178.119995,191.449997,184.907333,7719600
2019-04-05,191.500000,193.710007,189.160004,193.300003,186.694107,4639500
2019-04-08,192.500000,192.660004,190.559998,192.339996,185.766907,2866200
2019-04-09,191.339996,192.330002,189.559998,190.889999,184.366486,1917900
2019-04-10,191.000000,191.600006,188.630005,190.100006,183.603485,1399100
2019-04-11,190.029999,191.600006,189.110001,191.169998,184.636887,1847300
2019-04-12,192.199997,192.520004,190.229996,190.529999,184.018784,948500
2019-04-15,190.690002,191.000000,189.320007,190.919998,184.395416,1447600
2019-04-16,191.009995,191.460007,189.550003,190.009995,183.516541,2025300
2019-04-17,190.949997,192.869995,189.850006,191.580002,185.032867,1090900
2019-04-18,193.339996,199.880005,193.339996,198.800003,192.006149,2881500
2019-04-22,198.529999,205.750000,198.259995,205.460007,198.438538,2196900
2019-04-23,206.830002,209.199997,204.929993,207.479996,200.389526,2256500
2019-04-24,208.149994,210.419998,207.899994,210.139999,202.958603,1666900
2019-04-25,208.809998,214.479996,208.809998,212.160004,204.909592,1900700
2019-04-26,213.000000,214.360001,211.500000,212.160004,204.909592,1329600
2019-04-29,212.360001,213.339996,210.679993,212.539993,205.276596,1078400
2019-04-30,212.100006,212.770004,209.910004,211.669998,204.436325,1532600
2019-05-01,211.600006,213.699997,211.210007,212.089996,204.841949,876500
2019-05-02,211.139999,211.690002,207.660004,209.119995,201.973465,1569400
2019-05-03,210.130005,212.059998,209.789993,211.399994,204.175568,1113900
2019-05-06,208.279999,211.300003,208.000000,210.410004,203.219406,1166400
2019-05-07,209.130005,209.639999,206.740005,207.869995,200.766159,1227900
2019-05-08,207.160004,208.770004,206.750000,207.190002,200.109421,840800
2019-05-09,205.160004,206.580002,201.820007,201.889999,195.698959,1833400
2019-05-10,201.059998,204.009995,199.270004,203.229996,196.997864,1617000
2019-05-13,200.080002,201.669998,199.020004,201.059998,194.894394,1320100
2019-05-14,202.000000,207.250000,201.470001,205.330002,199.033478,1202000
2019-05-15,203.960007,207.789993,203.619995,204.990005,198.703903,1368700
2019-05-16,205.050003,207.529999,204.119995,206.800003,200.458374,873000
